uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp
AP,2022,11,400.0,27.220706247255162,445.28000000000003,27.756737589634007,-45.28000000000003,-0.5360313423788448
AP,2022,12,906.8,26.007776042330743,731.6,26.74075728301573,175.19999999999993,-0.7329812406849854
AP,2023,1,926.4,25.503447872837775,1079.6,26.75998637899296,-153.19999999999993,-1.2565385061551844
AP,2023,2,1132.0,25.243952275079995,1062.0,25.763088981997708,70.0,-0.5191367069177133
AP,2023,3,1271.2,25.517021320194534,1278.72,25.889499650507275,-7.519999999999982,-0.3724783303127417
AP,2023,4,1109.6,26.1858152173913,1753.6799999999998,26.106005764099496,-644.0799999999999,0.079809453291805
AP,2023,5,1202.4,26.5761385199241,1906.2400000000002,26.55273094564719,-703.8400000000001,0.023407574276909315
AP,2023,6,765.2,26.66923611111111,971.8400000000001,26.656106635883987,-206.6400000000001,0.013129475227124487
AP,2023,7,643.6,26.98787108461898,619.0400000000001,27.11054092026141,24.559999999999945,-0.12266983564243006
AP,2023,8,186.8,28.090044997662456,263.28000000000003,28.064231143836686,-76.48000000000002,0.025813853825770394
AP,2023,9,70.4,28.764646739130438,115.35999999999999,28.827362922705316,-44.95999999999998,-0.06271618357487796
AP,2023,10,90.0,29.07559899485741,107.68000000000002,28.557069401058268,-17.68000000000002,0.5185295937991405
AP,2023,11,158.8,28.752909013407734,445.28000000000003,27.756737589634007,-286.48,0.9961714237737276
AP,2023,12,1392.8,27.375273845194076,731.6,26.74075728301573,661.1999999999999,0.634516562178348
AP,2024,1,2743.2,26.33146045457581,1079.6,26.75998637899296,1663.6,-0.42852592441714776
AP,2024,2,2175.2000000000003,26.578731089000954,1062.0,25.763088981997708,1113.2000000000003,0.8156421070032458
AP,2024,3,2648.0,26.568516245909304,1278.72,25.889499650507275,1369.28,0.6790165954020289
AP,2024,4,2549.2,26.688194444444445,1753.6799999999998,26.106005764099496,795.52,0.5821886803449488
AP,2024,5,3668.0,26.669997662459092,1906.2400000000002,26.55273094564719,1761.7599999999998,0.11726671681190126
AP,2024,6,1967.2,26.538055555555555,971.8400000000001,26.656106635883987,995.3599999999999,-0.11805108032843137
AP,2024,7,1038.4,26.65351080246914,619.0400000000001,27.11054092026141,419.36,-0.45703011779227154
AP,2024,8,422.8,27.41171497584541,263.28000000000003,28.064231143836686,159.51999999999998,-0.6525161679912763
AP,2024,9,137.6,28.137934782608696,115.35999999999999,28.827362922705316,22.24000000000001,-0.68942814009662
AP,2024,10,303.6,28.18267032173063,107.68000000000002,28.557069401058268,195.92000000000002,-0.37439907932763816
AP,2024,11,434.8,28.033845363573622,445.28000000000003,27.756737589634007,-10.480000000000018,0.2771077739396155
AP,2024,12,1056.8,26.575775638573678,731.6,26.74075728301573,325.19999999999993,-0.16498164444205088
BA,2020,1,12190.0,26.082790723390588,7462.719999999999,25.982088500592,4727.280000000001,0.10070222279858854
BA,2020,2,4710.4,26.433691952396025,4686.639999999999,26.185594315874027,23.76000000000022,0.24809763652199734
BA,2020,3,14325.6,25.476740070852195,5819.84,26.163660740471773,8505.76,-0.6869206696195782
BA,2020,4,11212.4,24.938679966962635,7268.08,25.60796354578259,3944.3199999999997,-0.6692835788199538
BA,2020,5,6690.0,23.672061839627474,3942.4800000000005,24.223799772374527,2747.5199999999995,-0.5517379327470522
BA,2020,6,5374.8,22.65333027277831,3226.0,23.158492438287233,2148.8,-0.5051621655089242
BA,2020,7,4496.0,22.065835810242714,2762.2400000000002,22.70659779705152,1733.7599999999998,-0.6407619868088048
BA,2020,8,3852.4,22.540853706061974,2379.2,23.343745564000084,1473.2000000000003,-0.8028918579381106
BA,2020,9,1734.4,24.269619324652208,1537.44,24.882797472059092,196.96000000000004,-0.6131781474068845
BA,2020,10,3770.4,26.478658192313137,2772.32,26.564816222205234,998.0799999999999,-0.08615802989209698
BA,2020,11,7529.2,25.003444706761126,8040.08,25.64741481797629,-510.8800000000001,-0.6439701112151646
BA,2020,12,998.4,26.069906166198397,6599.68,26.11164018115565,-5601.280000000001,-0.04173401495725315
BA,2021,1,2992.8,26.28078624810706,7462.719999999999,25.982088500592,-4469.919999999999,0.2986977475150603
